UPRN,TotalEnergyConsumptionCurrent,TotalEnergyConsumptionPotential,TotalFloorArea
6000251.0,20976.0,14706.0,114.0
6000260.0,27464.6,15373.2,82.8
6000263.0,16549.0,10854.0,67.0
6000264.0,12528.0,7200.0,72.0
6000265.0,15450.0,11700.0,75.0
6000266.0,25191.0,14985.0,81.0
6000276.0,53566.26,52599.36,193.38
6000281.0,13767.2,13575.6,51.55
6000303.0,27180.0,19860.0,60.0
6000305.0,13746.0,13746.0,79.0
6000306.0,11458.04,9849.5,43.44
6000307.0,19114.2,13606.58,69.72
6000308.0,13434.8,11324.7,44.4
6000361.0,12768.0,11232.0,48.0
6000376.0,29745.0,24615.0,45.0
6000378.0,13219.545,11010.465,74.905
6000379.0,12223.35,11409.900000000001,74.475
6000380.0,12272.0,8008.0,52.0
6000381.0,13384.0,11256.0,56.0
6000382.0,13798.199999999999,9972.506666666666,78.81333333333333
6000383.0,11691.36,10357.02,63.54
6000384.0,8816.0,6916.0,76.0
6000385.0,8892.0,7956.0,78.0
6000386.0,12654.0,11259.5,60.5
6000387.0,9825.68,8072.96,61.18
6000388.0,17226.013333333332,12391.519999999999,78.55333333333333
6000389.0,8892.0,6840.000000000001,68.4
6000390.0,8736.0,6942.0,78.0
6000391.0,15057.0,8505.0,63.0
6000392.0,11256.5,6242.0,58.5
6000393.0,11843.7,9288.6,57.3
6000394.0,12640.0,8080.0,80.0
6000395.0,12640.0,8080.0,80.0
6000396.0,18400.0,17848.0,184.0
6000397.0,24552.0,20664.0,72.0
6000398.0,12904.92,10116.82,79.66
6000399.0,24824.7785,17212.824999999997,73.9995
6000400.0,46600.0,45400.0,200.0
6000401.0,17870.0,11873.0,34.5
6000407.0,17292.239999999998,15000.99,93.53
6000410.0,18564.0,13464.0,102.0
6000420.0,16748.91,16020.41,49.205
6000421.0,14196.0,7566.0,78.0
6000422.0,11716.55,8399.0,67.15
6000424.0,10301.76,8584.800000000001,40.88
6000425.0,59924.0,40934.0,211.0
6000426.0,16451.29,12827.68,87.11
6000427.0,35373.42999999999,27815.855,189.33499999999998
6000428.0,17475.0,11175.0,75.0
6000429.0,18300.0,11460.0,60.0
6000435.0,33267.0,25610.0,219.5
6000441.0,44020.0,21016.0,142.0
6000442.0,31322.0,29052.0,103.0
